File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,URL_reconciliation_Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
nogenre.xlsx,014847844,|||,ger,,,"PHILIPPI, F., Dr.","Philippi, F., Dr",,,,,Zur Reconstruction der Weltkarte des Agrippa ... Mit ... Kartenskizzen. [electronic resource],Zur Reconstruction der Weltkarte des Agrippa... Mit... Kartenskizzen.,,ger,,"Marburg, 1880.",Marburg,https://www.wikidata.org/wiki/Q3869,1880,Marburg,,,"AGRIPPA, Marcus Vipsanius.",,lsidyv35cfc424,,,
nogenre.xlsx,014866606,|||,lat,,,"DILICH, Wilhelm.",Wilhelm Dilich,,,,,Urbs et Academia Marpurgensis succincte descripta et typis efformata ... Librum autographum brevibus annotationibus instructum edidit Julius Caesar. [electronic resource],Urbs et Academia Marpurgensis succincte descripta et typis efformata... Librum autographum brevibus annotationibus instructum edidit Julius Caesar.,,lat,,"Marburgi, 1867.",Marburg,https://www.wikidata.org/wiki/Q3869,1867,Marburgi,,,"Caesar, Carl Julius, 1816-1886.",,lsidyv36b338ae,,,
nogenre.xlsx,014867089,|||,mul,$ager$aeng$aita,,"KOLBE, Wilhelm, Superintendent, Hesse-Cassel.","Kolbe, Wilhelm, Superintendent, Hesse-cassel",,,,,"Marburg und der siebenjährige Krieg. Ein Vortrag, etc. [electronic resource]","Marburg und der siebenjährige Krieg. Ein Vortrag, etc.",,ger,,"Marburg, 1880.",Marburg,https://www.wikidata.org/wiki/Q3869,1880,Marburg,,,,,lsidyv3689c888,,,
nogenre.xlsx,014867298,|||,mul,$ager$afre$ahun$adut,,"MORITZ, Hugo Heinrich.","Moritz, Hugo Heinrich",,,,,"Der Wahltag zu Regensburg im Jahre 1575. Inaugural-Dissertation, etc. [electronic resource]","Der Wahltag zu Regensburg im Jahre 1575. Inaugural-Dissertation, etc.",,ger,,"Marburg, 1895.",Marburg,https://www.wikidata.org/wiki/Q3869,1895,Marburg,,,,,lsidyv368a9c79,,,
nogenre.xlsx,014867855,|||,ger,,,"WAGNER, J. G., Landrichter in Marburg.","Wagner, J. G., Landrichter In Marburg",,,,,"Geschichte der Stadt und Herrschaft Schmalkalden, nebst einer kurzen Uebersicht der Geschichte der ehemaligen gefürsten Grafschaft Henneberg. [electronic resource]","Geschichte der Stadt und Herrschaft Schmalkalden, nebst einer kurzen Uebersicht der Geschichte der ehemaligen gefürsten Grafschaft Henneberg.",,ger,,"Marburg & Leipzig, 1849.",Marburg,https://www.wikidata.org/wiki/Q3869,1849,Marburg Leipzig,,,,,lsidyv36b4a4ab,,,
nogenre.xlsx,014872916,|||,ger,,,"STRIPPELMANN, F. G. L.","Strippelmann, F. G. L",,,,,Beiträge zur Geschichte Hessen-Cassels ... Jahr 1791 bis 1814. [electronic resource],Beiträge zur Geschichte Hessen-Cassels... Jahr 1791 bis 1814.,,ger,,"Marburg, 1877, etc.",Marburg,https://www.wikidata.org/wiki/Q3869,1877,Marburg,,,,,lsidyv3726a29a,,,
nogenre.xlsx,014891517,|||,ger,,,"MUENSCHER, Friedrich.","Muenscher, Friedrich",,,,,"Geschichte von Hessen, etc. [electronic resource]","Geschichte von Hessen, etc.",,ger,,"Marburg, 1894.",Marburg,https://www.wikidata.org/wiki/Q3869,1894,Marburg,,,,,lsidyv3799bceb,,,
nogenre.xlsx,014891618,|||,ger,,,"REHM, Friedrich.","Rehm, Friedrich",,,,,Das Jahr 1440. Festrede am Geburtstage ... der Kurfürsten von Hessen Wilhelm II. [electronic resource],Das Jahr 1440. Festrede am Geburtstage... der Kurfürsten von Hessen Wilhelm II.,,ger,,"Marburg, 1840.",Marburg,https://www.wikidata.org/wiki/Q3869,1840,Marburg,,,,,lsidyv3793ebaf,,,
nogenre.xlsx,014905161,|||,ger,,,"BRAUN, Friedrich, of the Königliches Gymnasium, Marburg.","Braun, Friedrich, Of The Königliches Gymnasium, Marburg",,,,,Die Tage von Canossa unter Heinrich IV. [electronic resource],Die Tage von Canossa unter Heinrich IV.,,ger,,"Marburg, 1874.",Marburg,https://www.wikidata.org/wiki/Q3869,1874,Marburg,,,,,lsidyv3826ba9a,,,
nogenre.xlsx,014905212,|||,ger,,,"FALCKENHEINER, Wilhelm.","Falckenheiner, Wilhelm",,,,,Philipp der Grossmütige im Bauernkriege. Mit urkundlichen Beilagen. [electronic resource],Philipp der Grossmütige im Bauernkriege. Mit urkundlichen Beilagen.,,ger,,"Marburg, 1887.",Marburg,https://www.wikidata.org/wiki/Q3869,1887,Marburg,,,,,lsidyv38284520,,,
nogenre.xlsx,014905375,|||,ger,,,"MUELLER, Ludwig, of Marburg?.","Mueller, Ludwig, Of Marburg?",,,,,Aus sturmvoller Zeit. Ein Beitrag zur Geschichte der westfälischen Herrschaft. [electronic resource],Aus sturmvoller Zeit. Ein Beitrag zur Geschichte der westfälischen Herrschaft.,,ger,,"Marburg, 1891.",Marburg,https://www.wikidata.org/wiki/Q3869,1891,Marburg,,,,,lsidyv382a394d,,,
nogenre.xlsx,014912297,|||,ger,,,"DÍEZ DE GÁMEZ, Gutierre.","Díez De Gámez, Gutierre",,,,,Bruchstücke aus den noch ungedruckten Theilen des Vitorial von Gutierre Diez de Games. Herausgegeben von L. G. Lemcke. Mit einer literarhistorischen Einleitung. Span. [electronic resource],Bruchstücke aus den noch ungedruckten Theilen des Vitorial von Gutierre Diez de Games. Herausgegeben von L. G. Lemcke. Mit einer literarhistorischen Einleitung. Span.,,ger,,"Marburg, 1865.",Marburg,https://www.wikidata.org/wiki/Q3869,1865,Marburg,,,"LEMCKE, Ludwig G.",,lsidyv3836f6c3,,,
nogenre.xlsx,014912627,|||,ger,,,"ROMMEL, Dietrich Christoph von.",Christoph Rommel,,,,,Geschichte von Hessen. [electronic resource],Geschichte von Hessen.,,ger,,"Marburg ; Cassel, 1820-43.",Marburg,https://www.wikidata.org/wiki/Q3869,1820,Marburg Cassel,,,,,lsidyv384283db -- lsidyv3842c76a -- lsidyv3842995b -- lsidyv38426f44,,,
nogenre.xlsx,015105993,|||,ger,,,"GOEBEL, Heinrich, Dr. Ing.","Goebel, Heinrich, Dr. Ing",,,,,Das Philosophische in Humes Geschichte von England. [electronic resource],Das Philosophische in Humes Geschichte von England.,,ger,,"Marburg, 1897.",Marburg,https://www.wikidata.org/wiki/Q3869,1897,Marburg,,,"Hume, David, 1711-1776",,lsidyv388ae3cf,,,
nogenre.xlsx,015106335,|||,ger,,,"WOLFRAM, Georg.","Wolfram, Georg",,,,,Friedrich I. und das Wormser Concordat. [electronic resource],Friedrich I. und das Wormser Concordat.,,ger,,"Marburg, 1883.",Marburg,https://www.wikidata.org/wiki/Q3869,1883,Marburg,,,,,lsidyv389656ce,,,
poetry.xls,014867485,|||,dut,,,"REINECKE, Wilhelm.","Reinecke, Wilhelm",,,,,"Geschichte der Stadt Cambrai bis zur Erteilung der Lex Godefridi, 1227. [electronic resource]","Geschichte der Stadt Cambrai bis zur Erteilung der Lex Godefridi, 1227.",,ger,,"Marburg, 1896.",Marburg,https://www.wikidata.org/wiki/Q3869,1896,Marburg,,,,,lsidyv36b960fe,ode,Poetry,
poetry.xls,014867854,|||,ger,,,"WAGNER, G., Dr.","Wagner, G., Dr",,,,,"Geschichte der Stadt Altendorf ... und der Saline Sooden, etc. [electronic resource]","Geschichte der Stadt Altendorf... und der Saline Sooden, etc.",,ger,,"Marburg, 1865.",Marburg,https://www.wikidata.org/wiki/Q3869,1865,Marburg,,,,,lsidyv368e9d1d,ode,Poetry,
