,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
16099,nogenre.xlsx,14830810,|||,eng,,,"Thompson, Edward P. (Edward Pett)","Thompson, Edward P., Edward Pett",,,,,"Life in Russia: or, the Discipline of Despotism. [electronic resource]","Life in Russia: or, the Discipline of Despotism.",,eng,,"London, 1848.",London,1848.0,London,,,,,lsidyv3c0a884b,,,
12034,nogenre.xlsx,14817899,|||,eng,,,"MACDOUGALL, Harriette, Mrs.","Macdougall, Harriette, Mrs",,,,,"Sketches of our life at Sarawak, etc. [electronic resource]","Sketches of our life at Sarawak, etc.",,eng,,"London : Christian Knowledge Society, [1882]",London,1882.0,London Christian Knowledge Society,,,,,lsidyv391a9635,,,
40138,poetry.xls,14816400,|||,und,,,"Byron, George Gordon Byron, Baron, 1788-1824","Byron, George Gordon Byron",Baron,1788-1824,,,[Childe Harold's Pilgrimage. A romaunt. [Cantos I and II. With fourteen other poems.]] [electronic resource],Childe Harold's Pilgrimage. A romaunt.,,eng,The sixth edition.,"London : John Murray, 1813.",London,1813.0,London John Murray,,,,,lsidyv33849ad7,poet,Poetry,
34068,poetry.xls,14628764,|||,und,,,"BOWYER, Anthony.","Bowyer, Anthony",,,,,"A Funeral Satyr in Memory of the Worthy Treatment of the late Mr. A. Bowyer, of Camberwell. By a Friend to Dr. Sacheverell's Club. [In verse.] [electronic resource]","A Funeral Satyr in Memory of the Worthy Treatment of the late Mr. A. Bowyer, of Camberwell.",By a Friend to Dr. Sacheverell's Club.,eng,,"London, 1709.",London,1709.0,London,,,,,lsidyv314c5370,verse,Poetry,
34768,poetry.xls,14768023,|||,eng,,,"NEWBON, Joseph.","Newbon, Joseph",,,,,"The History of the Parish of St. Ann, Blackfriars, in the Ward of Farringdon within, in the City of London. [electronic resource]","The History of the Parish of St. Ann, Blackfriars, in the Ward of Farringdon within, in the City of London.",,eng,,"London : Judd & Co., 1876.",London,1876.0,London Judd,,,,,lsidyv3c17c12c,story,Prose,
42755,poetry.xls,14825817,|||,und,,,"MONTGOMERY, Robert, Author of “Satan.”.","Montgomery, Robert",Author of “Satan.”,,,,[The Omnipresence of the Deity. A poem. [With other poems.]] [electronic resource],The Omnipresence of the Deity. A poem.,,eng,Second edition revised and enlarged.,"London, 1828.",London,1828.0,London,,,,,lsidyv341ecbf5,poet,Poetry,
5932,nogenre.xlsx,14805319,|||,eng,,,"BISHOP, Gilbert.","Bishop, Gilbert",,,,,"The Beachcombers; or, Slave trading under the Union Jack ... With seven illustrations by Hume Nisbet; and a map. [electronic resource]","The Beachcombers; or, Slave trading under the Union Jack... With seven illustrations by Hume Nisbet; and a map.",,eng,,"London : Ward & Downey, 1889.",London,1889.0,London Ward Downey,,,,,lsidyv392b6878,,,
23294,nogenre.xlsx,14867067,|||,ger,,,"KIRCHHOFF, Alfred.","Kirchhoff, Alfred",,,,,Erfurt im dreizehnten Jahrhundert. Ein Geschichtsbild. [electronic resource],Erfurt im dreizehnten Jahrhundert. Ein Geschichtsbild.,,ger,,"Berlin, Erfurt [printed], 1870.",Berlin,1870.0,Berlin Erfurt,,,,,lsidyv36bbc715,,,
46968,poetry.xls,14871249,|||,eng,,,"BISSET, Robert.","Bisset, Robert",,,,,"The History of the Reign of George III. ... The second edition, completed to the death of the King [by an anonymous writer]. [electronic resource]","The History of the Reign of George III.... The second edition, completed to the death of the King",,eng,,"London : Longman & Co., 1820.",London,1820.0,London Longman,,,,,lsidyv371b51f1 -- lsidyv371b45c4 -- lsidyv373c83f4 -- lsidyv371b0c6a -- lsidyv371b28ab -- lsidyv371b3940,story,Prose,
28194,nogenre.xlsx,14896256,|||,fre,,,"DONOT, P.","Donot, P",,,,,"Le Forez pendant la Révolution. Collection de documents rares ou inédits relatifs à cette province de 1789 à 1800, recueillis, publiés et annotés par P. Donot et le vicomte L. de Neufbourg. [electronic resource]","Le Forez pendant la Révolution. Collection de documents rares ou inédits relatifs à cette province de 1789 à 1800, recueillis, publiés et annotés par P. Donot et le vicomte L. de Neufbourg.",,fre,,"Lyon, 1888.",Lyon,1888.0,Lyon,,,"NEUFBOURG, L. de, Viscount.",,lsidyv38072d51,,,
