,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
4036,nogenre.xlsx,14767707,|||,eng,,,"GEORGE, William, of Bristol.","George, William, Of Bristol",,,,,"Lytes Cary Manor House, Somerset, and its literary associations; with notices of authors of the Lyte family, from Queen Elizabeth to the present time. [electronic resource]","Lytes Cary Manor House, Somerset, and its literary associations; with notices of authors of the Lyte family, from Queen Elizabeth to the present time.",,eng,,"Bristol : W. George, [1879]",Bristol,1879.0,Bristol George,,,,,lsidyv3c14f6ec -- lsidyv35f350ca,,,
10690,nogenre.xlsx,14814414,|||,eng,,,"JAMES, Hugo, of the Bengal Army.","James, Hugo, Of The Bengal Army",,,,,"A Volunteer's Scramble through Scinde, the Punjab, Hindostan, and the Himalaya Mountains. [electronic resource]","A Volunteer's Scramble through Scinde, the Punjab, Hindostan, and the Himalaya Mountains.",,eng,,"London, 1854.",London,1854.0,London,,"Sikh War, 1848-1849 Personal narratives, British. -- India Description and travel. -- Pakistan Description and travel.",,,lsidyv38fe1fc6 -- lsidyv38fe2845,,,
48333,poetry.xls,14939450,|||,und,,,"DIDIER, Antoine.","Didier, Antoine",,,,,Poems of a Roamer. [electronic resource],Poems of a Roamer.,,eng,,"pp. 16. Arthur H. Stockwell: London, [1920.]",Arthur,1920.0,Arthur Stockwell London,,,,,lsidyv386533b7,poet,Poetry,
15855,nogenre.xlsx,14830331,|||,eng,,,"STRETCH, Richard H.","Stretch, Richard H",,,,,"Prospecting, locating and valuing Mines ... With ... plates. [electronic resource]","Prospecting, locating and valuing Mines... With... plates.",,eng,,"New York : Scientific Publishing Co., 1899.",New-York,1899.0,New-York Scientific Publishing,,,,,lsidyv3034e2bc,,,
13040,nogenre.xlsx,14823406,|||,eng,,,"Pausanias, fl. ca. 150-175.",Pausanias,,fl. ca. 150-175,,,Pausanias's Description of Greece. Translated with a commentary by J. G.Frazer. [electronic resource],Pausanias's Description of Greece. Translated with a commentary by J. G.Frazer.,,eng,,"London : Macmillan & Co., 1898.",London,1898.0,London Macmillan,,,"Frazer, James George, 1854-1941.",,lsidyv3b9c95b6 -- lsidyv3c0b3d6f -- lsidyv3c0b2256 -- lsidyv3c0b4dbc -- lsidyv3be26121 -- lsidyv3c0b5dd0,,,
30378,nogenre.xlsx,14939695,|||,ger,,,,,,,,Livonia. Landtag.,"Die Recesse der livländischen Landtage aus den Jahren 1681 bis 1711. Theils im Worlaute, theils im Auszuge. Herausgegeben von C. Schirren. [electronic resource]","Die Recesse der livländischen Landtage aus den Jahren 1681 bis 1711. Theils im Worlaute, theils im Auszuge. Herausgegeben von C. Schirren.",,ger,,"Dorpal, 1865.",Dorpal,1865.0,Dorpal,,,"SCHIRREN, Carl, Professor of History at the University of Kiel.",,lsidyv385ad6f3,,,
34071,poetry.xls,14628770,|||,und,,,"BROWN, Frederick Rivers.","Brown, Frederick Rivers",,,,,"Ave, Victoria! [A poem.] Eng. [electronic resource]","Ave, Victoria! Eng.",,eng,,"pp. 36. Wright & Sons: Colchester, 1897.",Wright,1897.0,Wright Sons Colchester,,,,,lsidyv30862cdc,poet,Poetry,
48015,poetry.xls,14905129,|||,eng,,,"Alberg, Albert.","Alberg, Albert",,,,,Gustavus Vasa and his stirring times. Scenes from history told for youthful readers. [electronic resource],Gustavus Vasa and his stirring times. Scenes from history told for youthful readers.,,eng,,"London : W. S. Sonnenschein & Co., [1882]",London,1882.0,London Sonnenschein,,,,,lsidyv3817ed91,story,Prose,
22940,nogenre.xlsx,14866670,|||,eng,,,,,,,,Great Britain. Hydrographic Dept.,"Supplement. Corrected to December, 1884. [electronic resource]","Supplement. Corrected to December, 1884.",,eng,,"London, 1884, [1885].",London,1884.0,London,,,"HITCHFIELD, John James Pearce. -- RICHARDS, John Cumins.",,lsidyv36b2b483,,,
36833,poetry.xls,14808441,|||,eng,,,"CUMMING, Joseph George.","Cumming, Joseph George",,,,,"The Isle of Man; its history, physical, ecclesiastical, civil and legendary. [With plates, and maps.] [electronic resource]","The Isle of Man; its history, physical, ecclesiastical, civil and legendary.",,eng,,"London : John Van Voorst, 1848.",London,1848.0,London John Van Voorst,,,,,lsidyv3ba23d8e,story,Prose,
