,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
48342,poetry.xls,14939464,|||,und,,,"EDMUNDS, Albert Joseph.","Edmunds, Albert Joseph",,,,,English and American Poems. First series. [electronic resource],English and American Poems. First series.,,eng,,"Philadelphia : Chambers Printing House, 1888.",Philadelphia,1888.0,Philadelphia Chambers Printing House,,,,,lsidyv38640e7c,poet,Poetry,
10098,nogenre.xlsx,14813251,|||,und,,,"Hetherington, Helen F.","Hetherington, Helen F",,,,,Paul Nugent-Materialist. [electronic resource],Paul Nugent-Materialist.,,eng,,"London : Griffith & Farran, 1891.",London,1891.0,London Griffith Farran,,,"Burton, H. Darwin (Henry Darwin)",,lsidyv3a9fa16f,,,
16154,nogenre.xlsx,14830922,|||,eng,,,"TIMBS, John.","Timbs, John",,,,,"Nooks and Corners of English Life, past and present. ... With illustrations. [electronic resource]","Nooks and Corners of English Life, past and present.... With illustrations.",,eng,,"London, 1867, [1866].",London,1867.0,London,,,,,lsidyv3c49e6b6,,,
6814,nogenre.xlsx,14806842,|||,und,,,"CAREY, Rosa Nouchette.","Carey, Rosa Nouchette",,,,,[Lover or Friend?] [electronic resource],Lover or Friend?,,eng,,"London : Macmillan & Co., 1899.",London,1899.0,London Macmillan,,,,,lsidyv397ccf9f,,,
47017,poetry.xls,14871500,|||,eng,,,"Crabbe, George, 1754-1832.","Crabbe, George",,1754-1832,,,Tales of the Hall. [electronic resource],Tales of the Hall.,,eng,,"London : John Murray, 1819.",London,1819.0,London John Murray,,,,,lsidyv383292b7 -- lsidyv36ff4c5e,tale,Prose,
712,drama.xlsx,14806571,|||,und,,,"Byron, George Gordon Byron, Baron, 1788-1824","Byron, George Gordon Byron",Baron,1788-1824,,,"Caïn, mystère dramatique en trois actes ... traduit en vers français, et réfuté dans une suite de remarques philosophiques et critiques, précédé d'une lettre adressée à Lord Byron, sur les motifs et le but de cet ouvrage, par Fabre d'Olivet. [electronic resource]","Caïn, mystère dramatique en trois actes... traduit en vers français, et réfuté dans une suite de remarques philosophiques et critiques, précédé d'une lettre adressée à Lord Byron, sur les motifs et le but de cet ouvrage, par Fabre d'Olivet.",,fre,,"Paris, 1823.",Paris,1823.0,Paris,,,"FABRE D'OLIVET, Antoine.",,lsidyv3493451b,play,Drama,
20631,nogenre.xlsx,14860306,|||,fre,,,"DECAGNY, Paul.","Decagny, Paul",,,,,Histoire de l'arrondissement de Péronne et de plusieurs localités circonvoisines. [With plates and a map.] [electronic resource],Histoire de l'arrondissement de Péronne et de plusieurs localités circonvoisines.,,fre,,"Péronne, 1865, 69.",Péronne,1865.0,Péronne,,,,,lsidyv360b18a5 -- lsidyv3dbda1b5,,,
37962,poetry.xls,14811300,|||,und,,,"FULLER, Hulbert.","Fuller, Hulbert",,,,,Vivian of Virginia. [A tale.] ... Illustrated by F. T. Merrill. [electronic resource],Vivian of Virginia.... Illustrated by F. T. Merrill.,,eng,,"Boston [Mass.] : Lamson, Wolffe & Co., 1897.",Boston,1897.0,Boston Lamson Wolffe,,,"MERRILL, Frank Thayer.",,lsidyv39f21a21,tale,Prose,
21200,nogenre.xlsx,14860946,|||,ger,,,"REINHOLD, Gustav.","Reinhold, Gustav",,,,,Das Geschichtswerk des Livius als Quelle späterer Historiker. [electronic resource],Das Geschichtswerk des Livius als Quelle späterer Historiker.,,ger,,"Berlin, 1898.",Berlin,1898.0,Berlin,,,Livy.,,lsidyv36056310,,,
20045,nogenre.xlsx,14847897,|||,dan,,,"RÆDER, Oscar.","Ræder, Oscar",,,,,Om de uhistoriske og historiske Folk. En philosophisk-historisk Afhandling. [electronic resource],Om de uhistoriske og historiske Folk. En philosophisk-historisk Afhandling.,,dan,,"Kjøbenhavn, 1875.",Kjøbenhavn,1875.0,Kjøbenhavn,,,,,lsidyv35d8abca,,,
33853,poetry.xls,14617002,|||,und,,,"Purchas, John, 1823-1872.","Purchas, John",,1823-1872,,,Poems and Ballads. [electronic resource],Poems and Ballads.,,eng,,"London, 1846.",London,1846.0,London,,,,,lsidyv345fa884,ballad,Poetry,
