,File,Aleph system no.,Country code,Language code (008),Language code (041),DDC,Personal-author_ORIGINAL,Personal-author_clean,Personal_author_title,Personal_author_years,Personal_author_pseudonym,Corporate author,Title_ORIGINAL,Title_clean,Title_clean_after_By,Title_clean_language_detected,Edition,Imprint_ORIGINAL,Location_clean,Date,Location_intermediate,Series,Subjects,Other personal authors,Other corporate authors,DOM ID,Type,Genre,Column
4724,nogenre.xlsx,14784774,|||,eng,,,,,,,,,Names of Places in the and adjacent to the Gold Coast Protectorate. [electronic resource],Names of Places in the and adjacent to the Gold Coast Protectorate.,,eng,,"Gold Coast, W.A. : Government Printer, [1895]",Gold,1895.0,Gold Coast Government Printer,,,,,lsidyv3c5bb853,,,
41473,poetry.xls,14819236,|||,und,,,"Milton, John, 1608-1674","Milton, John",,1608-1674,,,"Milton's Poetical Works. With life, critical dissertation and explanatory notes by G. Gilfillan. [electronic resource]","Milton's Poetical Works. With life, critical dissertation and explanatory notes by G. Gilfillan.",,eng,,"Edinburgh : J. Nichol, 1853.",Edinburgh,1853.0,Edinburgh Nichol,,,"Gilfillan, George, 1813-1878.",,lsidyv3965c9c5,poet,Poetry,
10791,nogenre.xlsx,14814604,|||,und,,,"JOCELYN, Ada Maria.","Jocelyn, Ada Maria",,,,,A Dangerous Brute. A sporting sketch. [electronic resource],A Dangerous Brute. A sporting sketch.,,eng,,"London : Hutchinson & Co., [1895.].",London,1895.0,London Hutchinson,,,,,lsidyv3a19366d,,,
8962,nogenre.xlsx,14810900,|||,eng,,,"FLINN, David Edgar.","Flinn, David Edgar",,,,,"Ireland: its health resorts and watering places. With maps, etc. [electronic resource]","Ireland: its health resorts and watering places. With maps, etc.",,eng,,"London : Kegan Paul & Co., 1888.",London,1888.0,London Kegan Paul,,,,,lsidyv3c3c67d5,,,
12909,nogenre.xlsx,14823087,|||,eng,,,"MOORE, John, M.D., Author of “Zeluco.”.","Moore, John","M.D., Author of “Zeluco.”",,,,"[A View of Society and Manners in France, Switzerland, and Germany ... Sixth edition.] [electronic resource]","A View of Society and Manners in France, Switzerland, and Germany... Sixth edition.",,eng,Ninth edition.,"London, 1800.",London,1800.0,London,,,,,lsidyv2aec4522 -- lsidyv2aec1c5c,,,
32607,nogenre.xlsx,15742825,|||,pol,,,"GOREMUIKIN, I. L.","Goremuikin, I. L",,,,,Zarys historji włościan w Polsce. Przekład A. Dobrowolskiego. [electronic resource],Zarys historji włościan w Polsce. Przekład A. Dobrowolskiego.,,pol,,"Petersburg, 1898.",Petersburg,1898.0,Petersburg,,,"DOBROWOLSKI, Adam, Librarian.",,lsidyv385e940e,,,
39237,poetry.xls,14814074,|||,eng,,,"HUSSEY, Arthur.","Hussey, Arthur",,,,,Chronicles of Wingham. Being a contribution towards the history of the parish. Compiled from various works. [electronic resource],Chronicles of Wingham. Being a contribution towards the history of the parish. Compiled from various works.,,eng,,"Canterbury : J. A. Jennings, 1896.",Canterbury,1896.0,Canterbury Jennings,,,,,lsidyv3c1d33c0,story,Prose,
48359,poetry.xls,14939499,|||,eng,,,"FULTON, Forrest, Sir.","Fulton, Forrest",Sir,,,,"A Manual of Constitutional History, founded on the works of Hallam ... and Broom: containing the fundamental principles and the leading cases in constitutional law. [electronic resource]","A Manual of Constitutional History, founded on the works of Hallam... and Broom: containing the fundamental principles and the leading cases in constitutional law.",,eng,,"London, 1875.",London,1875.0,London,,,,,lsidyv386aacf8,story,Prose,
35084,poetry.xls,14803815,|||,und,,,"Alfred, King of England, 849-899.","Alfred, King Of England",,849-899,,,"Science Revived, or the Vision of Alfred. A poem in eight books. [electronic resource]","Science Revived, or the Vision of Alfred. A poem in eight books.",,eng,,"London : J. A. Gameau & Co., 1802.",London,1802.0,London Gameau,,,,,lsidyv345b688a,poet,Poetry,
10441,nogenre.xlsx,14813983,|||,und,,,"Hume, Fergus, 1859-1932.","Hume, Fergus",,1859-1932,,,The Gentleman who vanished. A psychological phantasy. [electronic resource],The Gentleman who vanished. A psychological phantasy.,,eng,,"London : F. V. White & Co., 1890.",London,1890.0,London White,,,,,lsidyv3abad351,,,
